Borough	Event Type	Audience	Attendance	Class
Bronx	Community Based Event	General Public	96.0	Movies
Bronx	Community Based Event	General Public	226.0	Movies
Bronx	Community Based Event	General Public	0.0	Movies
Bronx	Community Based Event	General Public	0.0	Movies
Bronx	Community Based Event	General Public	29.0	Movies
Staten Island	Community Based Event	Young Adult,Tot,Children	150.0	Play
Staten Island	Community Based Event	General Public	50.0	Movies
Manhattan	Community Based Event	General Public	40.0	Movies
Manhattan	Community Based Event	General Public	50.0	Movies
Manhattan	Local Event	Seniors,Children,Young Adult	27.0	Other
Manhattan	Community Based Event	General Public	80.0	Movies
Manhattan	Local Event	Children	55.0	Sport
Manhattan	Community Based Event	Children	0.0	Sport
Manhattan	Tournament/Competition	Young Adult,Teens	45.0	Sport
Manhattan	Community Based Event	Children,Tot,Young Adult,Adults,Teens,Seniors,Adaptive,General Public		Play
Manhattan	Community Based Event	General Public	95.0	Movies
Manhattan	Community Based Event	General Public	100.0	Movies
Manhattan	Community Based Event	General Public	40.0	Movies
Staten Island	Community Based Event	General Public	110.0	Movies
Manhattan	Tournament/Competition	Teens,Adults,Young Adult	16.0	Sport
Manhattan	Community Based Event	Tot,Children,Young Adult,Adults,Teens,Adaptive,Seniors,General Public	125.0	Fitness
Manhattan	Community Based Event	General Public	400.0	Movies
Manhattan	Community Based Event	General Public	35.0	Movies
Manhattan	Community Based Event	General Public	100.0	Movies
Staten Island	Community Based Event	General Public	50.0	Movies
Staten Island	Community Based Event	General Public	150.0	Movies
Staten Island	Community Based Event	General Public	175.0	Movies
Staten Island	Community Based Event	General Public	50.0	Movies
Bronx	Community Based Event	Children,Tot,Young Adult,Adults,Teens,Adaptive,Seniors,General Public	400.0	Play
Staten Island	Community Based Event	Children,Teens	55.0	Other
Staten Island	Tournament/Competition	Children,Teens	250.0	Sport
Manhattan	Local Event	Teens,Young Adult,Adults,Seniors	50.0	Other
Manhattan	Community Based Event	Tot,Children	757.0	Sport
Manhattan	Local Event	Children,Young Adult,Adults,Seniors	4.0	Lecture/Panel/Talk
Brooklyn	Local Event	Tot	102.0	Play
Brooklyn	Local Event	Tot	10.0	AC&F
Brooklyn	Local Event	Tot	30.0	AC&F
Brooklyn	Local Event	Children,Tot	104.0	Play
Brooklyn	Local Event	Tot	150.0	Sport
Manhattan	Tournament/Competition	Teens	15.0	Sport
Manhattan	Tournament/Competition	Adults,Seniors,Young Adult	60.0	Other
