Borough	Event Type	Audience	Attendance	Class
Manhattan	Community Based Event	General Public	210.0	Other
Manhattan	Community Based Event	General Public	13.0	AC&F
Manhattan	Community Based Event	General Public	55.0	AC&F
Manhattan	Community Based Event	Children,Tot	68.0	Other
Manhattan	Local Event	General Public,Young Adult,Teens	33.0	Sport
Manhattan	Tournament/Competition	Young Adult,Teens	60.0	Fitness
Manhattan	Community Based Event	General Public	70.0	AC&F
Manhattan	Community Based Event	General Public	17.0	Other
Manhattan	Community Based Event	General Public	125.0	Other
Manhattan	Community Based Event	Children	689.0	Other
Manhattan	Agency Produced Event	General Public	915.0	Other
Manhattan	Agency Produced Event	General Public	1062.0	Other
Manhattan	Community Based Event	General Public	50.0	AC&F
Bronx	Community Based Event	General Public	18.0	Movies
Bronx	Community Based Event	General Public	31.0	Movies
Manhattan	Community Based Event	Tot,Children,Young Adult,Adults,Teens,Adaptive,Seniors	62.0	Other
Manhattan	Community Based Event	Children,Young Adult,Adults,Teens,General Public	25.0	Other
Manhattan	Community Based Event	General Public,Children,Teens	55.0	Other
Manhattan	Community Based Event	Teens	50.0	Other
Manhattan	Community Based Event	General Public,Teens,Adults,Young Adult,Children	175.0	Other
Manhattan	Community Based Event	General Public,Children,Young Adult,Adults,Teens,Seniors	25.0	Play
Manhattan	Community Based Event	General Public,Children,Young Adult,Adults,Teens,Seniors	56.0	Play
Queens	Community Based Event	Seniors,Adults	48.0	Play
Bronx	Community Based Event	General Public	0.0	Movies
Bronx	Community Based Event	General Public	40.0	Movies
Staten Island	Local Event	General Public	183.0	Other
Bronx	Community Based Event	General Public	12.0	Movies
Manhattan	Agency Produced Event	Young Adult,Adults,Teens,Adaptive,Seniors,General Public	18.0	AC&F
Bronx	Community Based Event	General Public	30.0	Movies
Bronx	Community Based Event	General Public	20.0	Movies
Bronx	Community Based Event	General Public	15.0	Movies
Bronx	Community Based Event	General Public	14.0	Movies
Brooklyn	Community Based Event	General Public	50.0	Movies
Brooklyn	Community Based Event	General Public	130.0	Movies
Brooklyn	Community Based Event	General Public	40.0	Movies
Brooklyn	Community Based Event	General Public	20.0	Movies
Brooklyn	Community Based Event	General Public	15.0	Movies
Brooklyn	Community Based Event	General Public	30.0	Movies
Manhattan	Local Event	Teens,Young Adult,Children,Adults,Seniors,General Public	93.0	AC&F
Manhattan	Local Event	Children,Young Adult,Adults,Teens,General Public,Seniors	83.0	Dance
Manhattan	Community Based Event	Young Adult,Adults,Seniors,General Public	70.0	Fitness
Manhattan	Community Based Event	Children,Young Adult,Adults,Teens,Seniors,General Public	101.0	Other
Manhattan	Local Event	Adults,Young Adult,Seniors,General Public	30.0	Fitness
Manhattan	Community Based Event	General Public	90.0	Play
Manhattan	Local Event	Children,Adults,Young Adult,Tot	68.0	Play
Manhattan	Community Based Event	Children,Young Adult,Adults,Teens,Seniors,General Public	60.0	AC&F
Manhattan	Local Event	Tot,Children,Young Adult,Adults,Teens,General Public,Seniors,Adaptive	42.0	Fitness
Manhattan	Local Event	General Public	41.0	Play
Manhattan	Community Based Event	Adults,Young Adult,Seniors	42.0	Other
Manhattan	Local Event	General Public	49.0	Dance
Manhattan	Community Based Event	Children	20.0	Other
Manhattan	Community Based Event	Adults,Young Adult,Seniors	11.0	Dance
Manhattan	Community Based Event	Teens,Young Adult,Children,Adults,Seniors,General Public	96.0	Other
Manhattan	Community Based Event	General Public	65.0	Movies
Manhattan	Community Based Event	General Public	49.0	AC&F
Manhattan	Community Based Event	General Public	256.0	Other
Manhattan	Community Based Event	General Public	17.0	Movies
Manhattan	Community Based Event	General Public	12.0	Other
Brooklyn	Community Based Event	General Public	80.0	Movies
Brooklyn	Community Based Event	General Public	105.0	Movies
Brooklyn	Community Based Event	General Public	115.0	Movies
Brooklyn	Community Based Event	General Public	20.0	Movies
Brooklyn	Community Based Event	General Public	80.0	Movies
Brooklyn	Community Based Event	General Public	50.0	Movies
Staten Island	Agency Produced Event	General Public	53.0	Lecture/Panel/Talk
Bronx	Community Based Event	General Public	25.0	Movies
Bronx	Community Based Event	General Public	26.0	Movies
Bronx	Community Based Event	General Public	30.0	Movies
Bronx	Local Event	Children,Adults,Seniors,Young Adult,Adaptive,Teens,General Public	100.0	Other
Bronx	Local Event	Seniors	15.0	Other
Manhattan	Agency Produced Event	Young Adult,Adults,Adaptive,Seniors,General Public	8.0	AC&F
Staten Island	Community Based Event	General Public	15.0	Movies
Staten Island	Community Based Event	General Public	75.0	Movies
Staten Island	Community Based Event	General Public	15.0	Movies
Staten Island	Community Based Event	General Public	90.0	Movies
Staten Island	Community Based Event	General Public	90.0	Movies
Queens	Community Based Event	Tot,Children,Young Adult,Adults,Teens,Seniors,General Public	400.0	Play
Queens	Community Based Event	General Public	48.0	Movies
Manhattan	Community Based Event	General Public	32.0	Movies
Manhattan	Community Based Event	General Public	40.0	AC&F
