ObjectId,ResponseID,EndDate,Finished,Rate_your_satisfaction_with_thi,Satisfaction_Level,Program,Answered_Question__1_yes__0_no_,Percent_,Fiscal_Year,FY
75,R_1FIBoI3voMcYv3w,2017/06/22 13:25:00,1,2,Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
76,R_1FIErxNrhjAy8r1,2017/06/13 14:41:00,1,2,Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
77,R_1fjbeZc9e9fk8Zk,2017/06/13 17:29:59,1,1,Very Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
78,R_1FJQNSwZvwADSPb,2017/06/13 13:21:59,1,2,Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
79,R_1FKe4z2CWZ9WBrO,2016/09/01 11:02:00,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
80,R_1fkYWLzpKYRiI4x,2017/06/13 11:55:59,1,1,Very Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
81,R_1FlcHVR8kNuEKxC,2018/06/26 09:53:00,1,1,Very Satisfied,Aquatics Programs,1,,2018/06/30 00:00:00,FY 2018
82,R_1FmOdejJ3QTZBNK,2017/06/13 11:42:59,1,1,Very Satisfied,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
83,R_1Fqwja5n287cLvm,2017/06/13 12:45:00,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
84,R_1FqXhiIemOeFnOJ,2016/08/30 22:30:00,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
85,R_1FRhjUVa4oWW8Da,2017/06/13 13:05:59,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
86,R_1FRhlFDeyeJfeNl,2018/06/26 08:28:00,1,1,Very Satisfied,Aquatics Programs,1,,2018/06/30 00:00:00,FY 2018
87,R_1FWNBA5PpqV5Jfj,2017/06/13 12:30:59,1,1,Very Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
88,R_1fZ8ZjZd0rsH0PD,2017/06/13 11:44:00,1,1,Very Satisfied,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
89,R_1FzwRZM1rP8pPDq,2017/06/15 12:06:00,1,1,Very Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
90,R_1g2foi9e7tzIic6,2017/07/06 12:08:59,1,2,Satisfied,Youth Sports Leagues,1,,2017/06/30 00:00:00,FY 2017
91,R_1g5taN9wsI73N1D,2017/06/13 11:35:00,1,1,Very Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
92,R_1gbdZoPKpxmYSDn,2018/06/27 10:09:00,1,4,Dissatisfied,Youth Sports Leagues,1,,2018/06/30 00:00:00,FY 2018
93,R_1gco4AmhC2ZRjut,2017/06/29 18:13:00,1,1,Very Satisfied,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
94,R_1gCOScYnRqMm3pn,2017/06/13 20:55:00,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
95,R_1GCweyRntihzQD5,2017/06/13 19:38:59,1,3,Neutral,Martial Arts,1,,2017/06/30 00:00:00,FY 2017
96,R_1GD4iBxdpisM2tP,2017/06/15 08:10:59,1,2,Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
97,R_1GExiyqIDT84DRd,2017/06/13 11:38:00,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
98,R_1gkyAnd73mCiNf1,2018/06/26 10:56:00,1,2,Satisfied,Sports Instruction Classes,1,,2018/06/30 00:00:00,FY 2018
99,R_1GNbcJ45E1G6zkv,2017/06/13 11:32:59,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
100,R_1GnOs95gDqMDiUN,2017/06/13 12:27:59,1,5,Very Dissatisfied,Sports Instruction Classes,1,,2017/06/30 00:00:00,FY 2017
101,R_12RPFTw536cFRSF,2018/06/26 08:31:00,1,4,Dissatisfied,Sports Instruction Classes,1,,2018/06/30 00:00:00,FY 2018
102,R_12rpqk7Q2sLfTCL,2018/06/26 09:16:00,1,1,Very Satisfied,Sports Instruction Classes,1,,2018/06/30 00:00:00,FY 2018
103,R_12SFyZDNJzWjWR4,2017/06/22 21:08:59,1,1,Very Satisfied,Music Program,1,,2017/06/30 00:00:00,FY 2017
104,R_12SxAtYTHAju5Hn,2017/06/13 11:29:00,1,1,Very Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
105,R_12xMN2Z1LXV2ALi,2017/06/13 11:42:00,1,1,Very Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
106,R_1BTjnliK2PeKcM1,2018/06/26 10:50:59,1,2,Satisfied,Dance Class,1,,2018/06/30 00:00:00,FY 2018
107,R_1C7afoYKYSre6u4,2017/06/13 15:21:59,1,1,Very Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
108,R_1CDWbM4QolgovQZ,2018/06/26 09:29:00,1,4,Dissatisfied,Aquatics Programs,1,,2018/06/30 00:00:00,FY 2018
109,R_1CegPvSWF3cInKo,2017/06/13 21:21:59,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
110,R_1CELejDWkvZKlIh,2017/06/14 18:35:00,1,2,Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
111,R_1Cg7dcQIDAxnJ9Y,2016/08/30 17:44:00,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
112,R_1CIoVNIsi4mWUFv,2016/08/30 19:41:00,1,27,Good,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
113,R_1CJ9fh33jdJp49Y,2017/06/13 21:20:00,1,1,Very Satisfied,Maniakz Program,1,,2017/06/30 00:00:00,FY 2017
114,R_1CKr0OTtCvLIotk,2018/06/26 08:15:00,1,2,Satisfied,Gymnastics,1,,2018/06/30 00:00:00,FY 2018
115,R_1CmEKoVqzN2m3v0,2016/08/31 07:47:00,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
116,R_1Cmt3STKDiXmlP5,2018/06/26 09:11:00,1,1,Very Satisfied,Senior Programming,1,,2018/06/30 00:00:00,FY 2018
117,R_1CqffGN8JBWPtph,2016/08/30 16:47:59,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
118,R_1CyFAoXcFYxAYGw,2018/05/30 12:13:00,1,1,Very Satisfied,Youth Sports Leagues,1,,2018/06/30 00:00:00,FY 2018
119,R_1d4SE8mY3AAAgcL,2018/06/27 05:16:00,1,3,Neutral,Gymnastics,1,,2018/06/30 00:00:00,FY 2018
120,R_1d4siphD9kPmkwx,2018/06/26 15:27:59,1,1,Very Satisfied,Senior Programming,1,,2018/06/30 00:00:00,FY 2018
121,R_1d6KmehLwfpBtzj,2017/06/13 11:26:00,1,1,Very Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
122,R_1d7fnV4RbORmo6O,2017/06/17 21:49:59,1,1,Very Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
