ObjectId,ResponseID,EndDate,Finished,Rate_your_satisfaction_with_thi,Satisfaction_Level,Program,Answered_Question__1_yes__0_no_,Percent_,Fiscal_Year,FY
375,R_1pLGnCabgD0H1VV,2017/06/17 11:13:59,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
376,R_1pLJotTneFyESb1,2017/06/13 13:24:00,1,2,Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
377,R_1pLv8hBJzV342le,2018/06/26 09:27:59,1,2,Satisfied,Aquatics Programs,1,,2018/06/30 00:00:00,FY 2018
378,R_1pMbu8ldOhNsVzv,2017/06/13 12:06:00,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
379,R_1pMQyN7WKtWGEtX,2017/06/13 11:29:59,1,2,Satisfied,Youth Sports Leagues,1,,2017/06/30 00:00:00,FY 2017
380,R_1pnu8MGDvIiH5kO,2016/08/30 17:13:00,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
381,R_1poo9sRclAJ9hkp,2018/07/06 13:27:00,1,1,Very Satisfied,Gymnastics,1,,2018/06/30 00:00:00,FY 2018
382,R_1PRbPEJOyr9C8MA,2017/06/13 16:08:00,1,1,Very Satisfied,Sports Instruction Classes,1,,2017/06/30 00:00:00,FY 2017
383,R_1prkCO2WloGmAHW,2017/06/13 17:00:59,1,5,Very Dissatisfied,Maniakz Program,1,,2017/06/30 00:00:00,FY 2017
384,R_1pru3asWQ6QVDcV,2018/06/26 15:08:59,1,1,Very Satisfied,Aquatics Programs,1,,2018/06/30 00:00:00,FY 2018
385,R_1pScDdCkwtJFrBP,2017/06/13 11:36:59,1,2,Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
386,R_1pst63qYK4eprfS,2017/06/13 12:56:59,1,3,Neutral,Sports Instruction Classes,1,,2017/06/30 00:00:00,FY 2017
387,R_1ptwQpfuCeZRV3E,2017/06/15 17:15:00,1,5,Very Dissatisfied,Youth Sports Leagues,1,,2017/06/30 00:00:00,FY 2017
388,R_1PUgXqqUQ1bS3LC,2017/06/13 11:32:59,1,5,Very Dissatisfied,Adaptive Youth,1,,2017/06/30 00:00:00,FY 2017
389,R_1PUJEeSjFDjhnM1,2017/06/13 11:54:00,1,2,Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
390,R_1pVSGkOmFTjuF3Z,2017/06/13 15:08:00,1,1,Very Satisfied,Sports Instruction Classes,1,,2017/06/30 00:00:00,FY 2017
391,R_1pWNHghQy0Ng1Rn,2017/06/13 17:10:59,1,4,Dissatisfied,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
392,R_1pxGOAuRCUrEDFM,2016/09/06 07:36:00,1,27,Good,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
393,R_1pYGTFr0a2cOpi2,2017/06/13 19:57:59,1,1,Very Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
394,R_1PYJsrqdfMIGcN9,2017/06/13 18:42:00,1,4,Dissatisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
395,R_1PYQOGQEuacQEMv,2017/06/13 12:07:00,1,4,Dissatisfied,Youth Sports Leagues,1,,2017/06/30 00:00:00,FY 2017
396,R_1pytcYpn6mIEkog,2017/06/23 07:30:00,1,2,Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
397,R_1Q0FkBsXlmjUyED,2016/08/30 16:50:59,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
398,R_1q3ud7EnadwIvft,2017/06/14 08:18:00,1,1,Very Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
399,R_1Q6KZ0WQoVDNIMP,2017/06/13 15:20:59,1,1,Very Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
400,R_1q7InccdYu2tvmV,2017/06/13 16:15:00,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
401,R_2EuCyL6VyeVCKP9,2018/05/30 12:01:59,1,2,Satisfied,Youth Sports Leagues,1,,2018/06/30 00:00:00,FY 2018
402,R_2Evf5JXnNEa73Xw,2018/06/30 11:02:00,1,1,Very Satisfied,Youth Sports Leagues,1,,2018/06/30 00:00:00,FY 2018
403,R_2eXw1nU8Mqc3opi,2018/06/26 19:20:00,1,1,Very Satisfied,Senior Programming,1,,2018/06/30 00:00:00,FY 2018
404,R_2f1h1AUQf87mwWe,2017/06/15 14:02:00,1,1,Very Satisfied,Maniakz Program,1,,2017/06/30 00:00:00,FY 2017
405,R_2f3sPdYHraS8lHH,2018/06/26 11:35:00,1,1,Very Satisfied,Adaptive Adult,1,,2018/06/30 00:00:00,FY 2018
406,R_2f7GEwmivDue5BP,2017/06/14 01:57:00,1,1,Very Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
407,R_2f8WJTBuAzaMA6Z,2017/06/15 10:59:00,1,2,Satisfied,Adult Sports Leagues,1,,2017/06/30 00:00:00,FY 2017
408,R_2fiID4VBb6YeP4y,2017/06/13 18:26:00,1,1,Very Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
409,R_2foFAmWgtdWe6x2,2017/06/13 14:42:00,1,1,Very Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
410,R_2fOtbk3xXliYJZ7,2018/06/26 13:30:00,1,2,Satisfied,Senior Programming,1,,2018/06/30 00:00:00,FY 2018
411,R_2fPMNUFdIxE9om5,2017/06/18 21:20:59,1,2,Satisfied,Music Program,1,,2017/06/30 00:00:00,FY 2017
412,R_2fqSrVWzNAVmnqw,2017/06/13 16:44:00,1,1,Very Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
413,R_2fvUdOT6todr12s,2018/05/30 12:29:00,1,4,Dissatisfied,Youth Sports Leagues,1,,2018/06/30 00:00:00,FY 2018
414,R_2lUzDoGXvckvVyV,2018/06/26 08:07:59,1,1,Very Satisfied,Aquatics Programs,1,,2018/06/30 00:00:00,FY 2018
415,R_2lzkI0rVCPZFhER,2017/06/14 09:32:00,1,1,Very Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
416,R_2n2WUzlMVW1mkHT,2016/08/30 17:51:00,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
417,R_2OGT2HxjndUMZQD,2017/06/17 17:25:00,1,1,Very Satisfied,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
418,R_2OMFEmpiwlgv0a4,2017/06/13 13:04:00,1,3,Neutral,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
419,R_2OYYk6bQKopOofb,2018/06/26 09:30:00,1,1,Very Satisfied,Martial Arts,1,,2018/06/30 00:00:00,FY 2018
420,R_2P0TOOVzpJt1Fhc,2017/06/13 14:45:00,1,1,Very Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
421,R_2P5OxY0D4QgEIDn,2017/06/13 21:36:00,1,1,Very Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
422,R_2P5vbhQsIC9n7yB,2017/06/16 23:02:00,1,1,Very Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
423,R_2P7tcNktREDEzOe,2017/06/13 11:47:00,1,2,Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
424,R_2PCpESQM6dvhDeR,2018/06/26 13:51:59,1,1,Very Satisfied,Senior Programming,1,,2018/06/30 00:00:00,FY 2018
425,R_2PgHvoRO6rNwmwZ,2018/06/26 09:01:59,1,1,Very Satisfied,Music Program,1,,2018/06/30 00:00:00,FY 2018
426,R_2pLc9LAZjhmSE98,2017/06/13 15:23:00,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
427,R_26a6U6ymfV0QJ7D,2017/06/13 15:19:00,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
428,R_2pQyfNuRn3WsODL,2016/08/31 20:58:00,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
429,R_2PuQ0waJwGTFFAJ,2018/06/26 18:04:59,1,3,Neutral,Gymnastics,1,,2018/06/30 00:00:00,FY 2018
430,R_2PvdLxR61tvXxgv,2017/06/14 10:36:00,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
431,R_2pYo4oERJDQq9gV,2017/06/13 15:55:00,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
432,R_2q8DqktZTEddPQm,2016/08/30 22:04:00,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
433,R_2q8konupYFLEta9,2017/06/13 13:34:00,1,1,Very Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
434,R_2qCM9L6r1Ppah98,2017/06/13 11:51:59,1,2,Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
435,R_2qDcBePTPTfx1OB,2018/06/26 11:34:00,1,1,Very Satisfied,Aquatics Programs,1,,2018/06/30 00:00:00,FY 2018
436,R_2qDGfHvEL5uy4Su,2017/06/13 14:51:00,1,2,Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
437,R_2QEfzM8wpLxNQsO,2017/07/04 17:13:00,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
438,R_2QfZkQp9r2LDh5h,2017/06/13 20:34:00,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
439,R_2qg5vE0XXlR4kG7,2017/06/15 09:24:00,1,3,Neutral,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
440,R_2QG9feCaCuLtUpO,2017/06/13 11:48:00,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
441,R_2QGHJZDupuQR2bm,2017/06/13 13:53:00,1,3,Neutral,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
442,R_2qgTIV5VKUUy6sB,2018/06/27 14:16:59,1,1,Very Satisfied,Youth Sports Leagues,1,,2018/06/30 00:00:00,FY 2018
443,R_2qk24bPgu9iZPcV,2018/06/26 08:51:59,1,1,Very Satisfied,Aquatics Programs,1,,2018/06/30 00:00:00,FY 2018
444,R_2QKXcncRDtYFATw,2017/06/13 19:28:59,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
445,R_2QL4BdQ55TFD2Ap,2016/08/30 21:17:59,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
446,R_2qmZpyYHTRK7bfk,2016/08/30 20:34:00,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
447,R_2QnEFh3eeWEajc2,2018/06/27 09:39:00,1,1,Very Satisfied,Gymnastics,1,,2018/06/30 00:00:00,FY 2018
448,R_2QnRS8EzQu7KsgH,2017/06/13 11:51:59,1,1,Very Satisfied,Sports Instruction Classes,1,,2017/06/30 00:00:00,FY 2017
449,R_2QPonztnz6vbTNu,2017/06/14 10:22:59,1,2,Satisfied,Sports Instruction Classes,1,,2017/06/30 00:00:00,FY 2017
450,R_2QQffy7bYLJkk8X,2017/06/16 10:08:00,1,2,Satisfied,Martial Arts,1,,2017/06/30 00:00:00,FY 2017
451,R_2QQIjP6uP1bflwl,2018/06/26 20:13:00,1,4,Dissatisfied,Adaptive Adult,1,,2018/06/30 00:00:00,FY 2018
452,R_21He8OJNGSU2yjD,2017/06/13 16:46:00,1,1,Very Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
453,R_2ab5cTVcFxc2XPs,2017/06/27 13:57:00,1,2,Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
454,R_26g45FbrS1qWp7i,2016/08/31 09:23:00,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
455,R_21HQzgJBYzP9qyj,2017/06/13 20:26:00,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
456,R_26gychIF5MvaHs4,2017/06/13 19:18:00,1,1,Very Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
457,R_2aE1USokkN8Q71x,2017/06/13 21:52:00,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
458,R_21nQAT7HbCJSMVt,2017/06/14 06:55:00,1,3,Neutral,Education Program,1,,2017/06/30 00:00:00,FY 2017
459,R_26h8XQ6apwGCeoI,2018/05/30 12:01:59,1,1,Very Satisfied,Youth Sports Leagues,1,,2018/06/30 00:00:00,FY 2018
460,R_2AHBaetc2XaKzGq,2016/08/31 06:11:00,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
461,R_21p9xtPGHGA5ggU,2016/08/30 20:23:00,1,27,Good,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
462,R_26mqQ4RGmiCxGG8,2017/06/13 17:13:59,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
463,R_2ahpoCoSExHGCEu,2017/06/14 09:27:00,1,1,Very Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
464,R_21vO4MAFdwwmOJh,2017/06/29 21:46:59,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
465,R_274rNdC85jWTFdA,2017/06/13 12:26:00,1,2,Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
466,R_2AHyDscbr5eEAAT,2017/06/13 16:09:59,1,1,Very Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
467,R_21zw2725H7I56Cf,2017/06/15 19:05:59,1,4,Dissatisfied,Youth Sports Leagues,1,,2017/06/30 00:00:00,FY 2017
468,R_277sRVO3TKwH4RF,2018/05/30 12:35:00,1,1,Very Satisfied,Youth Sports Leagues,1,,2018/06/30 00:00:00,FY 2018
469,R_2AKFnRiCFJt53lH,2017/06/13 11:16:59,1,1,Very Satisfied,Sports Instruction Classes,1,,2017/06/30 00:00:00,FY 2017
470,R_22LXUIg5RT35GEI,2017/06/13 11:41:00,1,1,Very Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
471,R_27BUCjEh0pxjNDZ,2016/08/30 20:13:00,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
472,R_2akun853dk9YwYG,2018/06/26 10:46:00,1,1,Very Satisfied,Martial Arts,1,,2018/06/30 00:00:00,FY 2018
473,R_22mMc4XKbZAgkvC,2018/06/26 14:05:00,1,1,Very Satisfied,Senior Programming,1,,2018/06/30 00:00:00,FY 2018
474,R_27Dst0Rh7XVYpY9,2017/06/13 12:33:59,1,2,Satisfied,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
475,R_2ALLrs0i2k9MqPT,2017/06/13 21:04:00,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
476,R_22sHZn0frQdUlLf,2017/06/13 15:20:00,1,1,Very Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
477,R_22Xj8nHEwaP6XvS,2018/06/27 14:00:59,1,1,Very Satisfied,Aquatics Programs,1,,2018/06/30 00:00:00,FY 2018
478,R_22XokKsouKUG1oA,2018/06/26 09:30:59,1,2,Satisfied,Dance Class,1,,2018/06/30 00:00:00,FY 2018
479,R_22zaDD69Eodt8nN,2017/06/13 14:13:00,1,2,Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
480,R_231vyEedKb306Ql,2017/06/13 12:27:00,1,2,Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
481,R_238gp2fOBgpFFOJ,2018/06/26 09:30:59,1,1,Very Satisfied,Aquatics Programs,1,,2018/06/30 00:00:00,FY 2018
482,R_23dgayTSrazpxXW,2017/06/16 13:21:00,1,4,Dissatisfied,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
483,R_23TSNysJvkJbX8e,2017/06/13 14:15:00,1,2,Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
484,R_23Un5Gu9U3luaLw,2017/06/13 11:25:00,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
485,R_23V0Om3w0cDt7YQ,2017/06/13 15:08:59,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
486,R_23V9GOOe4KSwd3E,2017/06/13 12:10:00,1,1,Very Satisfied,Maniakz Program,1,,2017/06/30 00:00:00,FY 2017
487,R_23Vlo1EGTMh6UeF,2018/05/30 12:24:59,1,5,Very Dissatisfied,Youth Sports Leagues,1,,2018/06/30 00:00:00,FY 2018
488,R_23VRe2nx5zlDgev,2016/08/30 17:13:59,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
489,R_241vooWEVw9mhmM,2017/06/13 12:58:00,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
490,R_248hu7DI94rh8Hr,2017/06/16 14:19:59,1,1,Very Satisfied,Sports Instruction Classes,1,,2017/06/30 00:00:00,FY 2017
491,R_24A9x5jo17lvnOY,2017/06/16 13:41:00,1,1,Very Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
492,R_24AW1eEVuGKgkF6,2017/06/13 20:23:59,1,1,Very Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
493,R_24csLBlqU3SglT4,2017/06/13 11:26:00,1,1,Very Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
494,R_24EoAuPZTSDatC9,2017/06/13 13:40:00,1,2,Satisfied,Maniakz Program,1,,2017/06/30 00:00:00,FY 2017
495,R_24jHA3fCTv8MoBt,2017/06/19 12:01:59,1,2,Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
496,R_24jVcb151C9p81B,2018/06/26 15:42:00,1,2,Satisfied,Adult Sports Leagues,1,,2018/06/30 00:00:00,FY 2018
497,R_24M0qV3iF03Lzqo,2016/08/30 20:32:59,1,27,Good,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
498,R_24MCOSmAtPzcuOV,2017/06/13 18:48:00,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
499,R_24N6bdeOqHbU4yg,2017/06/13 17:42:59,1,2,Satisfied,Adult Sports Leagues,1,,2017/06/30 00:00:00,FY 2017
500,R_24pD8vQZE9jA66l,2017/06/13 19:36:00,1,1,Very Satisfied,Maniakz Program,1,,2017/06/30 00:00:00,FY 2017
501,R_24Pml18IIx5EZ5N,2017/06/19 14:35:00,1,4,Dissatisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
502,R_24rg2PQfAP63EsN,2018/06/26 08:55:59,1,3,Neutral,Martial Arts,1,,2018/06/30 00:00:00,FY 2018
503,R_24uc29n3UDpWTlH,2018/06/26 09:03:00,1,1,Very Satisfied,Adult Sports Leagues,1,,2018/06/30 00:00:00,FY 2018
504,R_24xg9fdgYI5tuaA,2017/06/13 17:26:00,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
505,R_25GAX4KL2tqVAdf,2018/05/30 13:44:59,1,2,Satisfied,Youth Sports Leagues,1,,2018/06/30 00:00:00,FY 2018
506,R_25Kkuifolw0iC0I,2017/06/13 11:23:59,1,1,Very Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
507,R_25RcMv1o2FGv7GA,2017/06/13 13:28:59,1,2,Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
508,R_25sVOwXQJYwT9JF,2016/08/30 21:21:59,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
509,R_25tMeBOtA5tOZnW,2017/06/13 17:13:00,1,2,Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
510,R_25TuHKZ0cYTcfuy,2017/06/13 14:12:00,1,5,Very Dissatisfied,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
511,R_25vAK1UaUdSi1ZU,2017/06/13 11:41:00,1,5,Very Dissatisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
512,R_25vfsG6VrrqClgy,2017/06/14 23:57:00,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
513,R_25vImBHFgcCJz0h,2017/06/15 01:44:00,1,1,Very Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
514,R_25WrmpAcyswGTcx,2017/06/14 06:03:00,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
515,R_25XjKSZiOBwrSOu,2017/06/14 10:15:59,1,2,Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
516,R_25XtOq7sIe6RjXw,2017/06/20 17:32:00,1,1,Very Satisfied,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
517,R_25yateZaaapdCkx,2017/06/13 14:58:59,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
518,R_2QRJhYoJ7WMMRN9,2017/06/13 12:42:00,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
519,R_27eSurJxQnhhAKS,2018/06/26 20:23:00,1,1,Very Satisfied,Youth Sports Leagues,1,,2018/06/30 00:00:00,FY 2018
520,R_2amoE9fVofcSJTW,2016/08/30 19:41:59,1,1,Very Satisfied,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
521,R_2QrLx8hi5QFCyK3,2017/06/13 18:35:00,1,1,Very Satisfied,Youth Sports Leagues,1,,2017/06/30 00:00:00,FY 2017
522,R_27g1JHU2lCTsuy3,2018/06/26 11:48:00,1,2,Satisfied,Adaptive Youth,1,,2018/06/30 00:00:00,FY 2018
523,R_2t06etESdRBePpP,2017/06/16 08:10:00,1,1,Very Satisfied,Music Program,1,,2017/06/30 00:00:00,FY 2017
524,R_2anqyGlhgV9GbG9,2018/06/26 12:08:00,1,1,Very Satisfied,Gymnastics,1,,2018/06/30 00:00:00,FY 2018
525,R_2aPOe33bnOA7xLI,2018/06/26 10:38:00,1,1,Very Satisfied,Senior Programming,1,,2018/06/30 00:00:00,FY 2018
526,R_2aRfabHHsSo2FwP,2018/06/26 09:04:59,1,2,Satisfied,Sports Instruction Classes,1,,2018/06/30 00:00:00,FY 2018
527,R_2ASYXfYffkUtE88,2017/06/13 12:06:00,1,2,Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
528,R_2aVaCZMQWAvS2Hy,2018/05/31 08:26:00,1,4,Dissatisfied,Youth Sports Leagues,1,,2018/06/30 00:00:00,FY 2018
529,R_2AX3bFrniI3rtXg,2018/06/26 08:19:00,1,4,Dissatisfied,Sports Instruction Classes,1,,2018/06/30 00:00:00,FY 2018
530,R_2az3aifeoXwt9OG,2018/06/26 21:49:59,1,1,Very Satisfied,Education Program,1,,2018/06/30 00:00:00,FY 2018
531,R_2AZhX45HAqvIN9K,2017/06/13 19:37:00,1,1,Very Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
532,R_2b15Tg1FYpAIhip,2017/06/14 02:28:00,1,5,Very Dissatisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
533,R_2b2DZqn1NQlLSyB,2017/06/13 15:51:00,1,1,Very Satisfied,Martial Arts,1,,2017/06/30 00:00:00,FY 2017
534,R_2B2wNsPuDgifnE0,2017/06/22 06:00:00,1,1,Very Satisfied,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
535,R_2B4WPHzayJZcYUF,2018/06/27 06:59:59,1,1,Very Satisfied,Gymnastics,1,,2018/06/30 00:00:00,FY 2018
536,R_2B9xdEdmRegMOxG,2017/06/14 09:49:59,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
537,R_2BaPJGu6e04u0p2,2017/06/14 09:58:00,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
538,R_2BezUha7ncnv5fj,2016/08/30 17:50:00,1,28,Fair,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
539,R_2Bkvz86wZ10REky,2018/06/26 11:48:59,1,2,Satisfied,Senior Programming,1,,2018/06/30 00:00:00,FY 2018
540,R_2BkyfDYZ7X8W8wS,2017/06/14 10:12:59,1,2,Satisfied,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
541,R_2BlkKtoWblfX7qU,2017/06/13 19:57:59,1,1,Very Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
542,R_2bNNhp2iOPhsUky,2017/06/13 11:42:59,1,5,Very Dissatisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
543,R_2BnReqabyXbDgoa,2017/06/13 15:59:00,1,1,Very Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
544,R_2BnTgYyACdQkFnW,2017/06/13 12:37:59,1,2,Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
545,R_2bPMbhSetCVdKWp,2018/06/26 09:20:59,1,3,Neutral,Adult Sports Leagues,1,,2018/06/30 00:00:00,FY 2018
546,R_2BqYQmoc609zczS,2017/06/19 17:57:00,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
547,R_2Brqa9XchU9YhEJ,2017/06/13 11:26:59,1,1,Very Satisfied,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
548,R_2BxiKwO5He1nNz4,2017/06/13 12:03:00,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
549,R_2By5jZPPgKphevb,2018/06/28 12:11:59,1,1,Very Satisfied,Aquatics Programs,1,,2018/06/30 00:00:00,FY 2018
550,R_2ByUgXXpCpSSFMJ,2017/06/14 16:44:59,1,2,Satisfied,Education Program,1,,2017/06/30 00:00:00,FY 2017
551,R_2c2b34S94MxXDme,2017/06/13 14:57:00,1,2,Satisfied,Dance Class,1,,2017/06/30 00:00:00,FY 2017
552,R_2c61MkFBlWaYZYI,2016/08/30 17:10:59,1,27,Good,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
553,R_2cB146X47J9SGim,2018/06/26 08:05:00,1,2,Satisfied,Aquatics Programs,1,,2018/06/30 00:00:00,FY 2018
554,R_2CB3QamxIHHJafh,2016/08/31 21:55:00,1,27,Good,Summer Camp,1,,2017/06/30 00:00:00,FY 2017
555,R_2cBjrXWIwqP4dIz,2017/06/15 18:01:00,1,2,Satisfied,Martial Arts,1,,2017/06/30 00:00:00,FY 2017
556,R_2CBO4ERaRfgxR9q,2017/06/13 11:38:00,1,2,Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
557,R_2cCn3G6RnneMIFm,2017/06/13 15:23:00,1,1,Very Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
558,R_2CeUOGjYkxnX3iO,2018/06/26 21:16:00,1,1,Very Satisfied,Aquatics Programs,1,,2018/06/30 00:00:00,FY 2018
559,R_2CfdTbIxvYsjd5y,2017/06/13 14:32:00,1,1,Very Satisfied,Aquatics Programs,1,,2017/06/30 00:00:00,FY 2017
560,R_2CfTYY7eOgOGF5x,2017/06/13 11:44:00,1,2,Satisfied,Gymnastics,1,,2017/06/30 00:00:00,FY 2017
561,R_2CjKKsnPx0tyGaa,2017/06/13 16:05:00,1,1,Very Satisfied,Fitness Class,1,,2017/06/30 00:00:00,FY 2017
562,R_2CmlQJfiOGZFGdg,2018/06/28 23:32:59,1,2,Satisfied,Maniakz Program,1,,2018/06/30 00:00:00,FY 2018
563,R_2CNdudjnuyyQoXD,2017/06/13 17:21:00,1,1,Very Satisfied,Senior Programming,1,,2017/06/30 00:00:00,FY 2017
564,R_2coTfBu9i0FFYVA,2017/06/13 19:57:59,1,1,Very Satisfied,Sports Instruction Classes,1,,2017/06/30 00:00:00,FY 2017
