Unit,Group Name/Partner,Date and Time,Borough,LocationType,Location,Event Name,Event Type,Category,Classification,Audience,Attendance
Recreation,NYU,04/04/2018 02:00:00 PM,Manhattan,Park,Washington Square Park,Salsa in the Park with NYU,Community Based Event,Arts/Culture,Dance,Seniors;#Adults,125
Recreation,,05/26/2017 09:00:00 AM,Bronx,Recreation Center,St. James Recreation Center,Orchard Beach Grand Opening,Local Event,Fitness,,Adults;#Seniors,9
Recreation,,04/14/2017 12:00:00 PM,Brooklyn,Recreation Center,McCarren Play Center,Tots Easter Egg Hunt,Local Event,Fitness,Play,Tot;#Children,78
Recreation,,05/12/2017 10:00:00 AM,Brooklyn,Recreation Center,McCarren Play Center,Mothers day event,Local Event,Arts/Culture,,Tot,67
Recreation,,04/19/2017 10:00:00 AM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Bunny Wonderland,Local Event,Arts/Culture,Play,Tot;#Teens;#Young Adult;#Adults;#Seniors,220
Recreation,,04/29/2017 12:00:00 AM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Track & Field trip to Icahn Stadium,Local Event,Sport,Play,Children,39
Recreation,,05/08/2017 04:00:00 PM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Video game tournament,Tournament/Competition,Sport,Play,Children;#Teens,22
Recreation,,05/31/2017 10:00:00 AM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Open House- Aerobics expo,Open House,Fitness,,Teens;#Young Adult;#Adults;#Seniors,95
Recreation,,02/04/2017 10:00:00 AM,Bronx,Recreation Center,West Bronx Recreation Center,Wnter Fest Prep,Local Event,Arts/Culture,Play,Teens;#Young Adult;#Children,15
Recreation,,02/10/2017 06:00:00 PM,Bronx,Recreation Center,West Bronx Recreation Center,Arts & Crafts / Valentine,Local Event,Arts/Culture,Play,Children,12
Recreation,,01/28/2017 06:00:00 PM,Bronx,Recreation Center,St. Mary's Recreation Center,"Arts, Culture & Fun Presents: Talking Inspiration: Oysters (Book presentation & Panel discussion)",Local Event,Arts/Culture,AC&F,General Public,12
Recreation,,03/04/2017 10:00:00 AM,Bronx,Recreation Center,St. James Recreation Center,"Arts, Culture & Fun Presents: Talking Inspiration: Women who read are dangerous (Book pres. & Panel discussion)",Local Event,Arts/Culture,AC&F,General Public,10
Recreation,,03/01/2017 05:00:00 PM,Bronx,Recreation Center,St. James Recreation Center,Mardi Gras Celebration,Local Event,Arts/Culture,Play,Seniors,9
Recreation,,01/14/2017 01:00:00 PM,Brooklyn,Recreation Center,Red Hook Recreation Center,MLK  I Have a Dream  All Star Basketball Game,Tournament/Competition,Sport,Tier 1,Teens;#Young Adult,
Recreation,,03/11/2017 06:00:00 PM,Bronx,Recreation Center,Poe Park Visitor Center,"Arts, Culture & Fun Presents: CITY BIRDS by Elana Amity Art Workshop",Local Event,Arts/Culture,AC&F,General Public,40
Recreation,,03/18/2017 06:00:00 PM,Bronx,Recreation Center,Poe Park Visitor Center,"Arts, Culture & Fun Presents: CITY BIRDS by Elana Amity Art Workshop",Local Event,Arts/Culture,AC&F,General Public,20
Recreation,,03/25/2017 06:00:00 PM,Bronx,Recreation Center,Poe Park Visitor Center,"Arts, Culture & Fun Presents: CITY BIRDS Book presentation & cottage visit",Local Event,Arts/Culture,AC&F,General Public,20
Recreation,,01/06/2017 10:00:00 AM,Bronx,Recreation Center,Owen Dolen Recreation Center,Kwanzaa,Local Event,Arts/Culture,Play,Teens;#Young Adult;#Adults;#Children,50
Recreation,,01/13/2017 10:00:00 AM,Bronx,Recreation Center,Owen Dolen Recreation Center,Special Event- Three Kings Ceremony,Local Event,Arts/Culture,Play,Children,21
Recreation,,02/25/2017 12:00:00 AM,Bronx,Recreation Center,Owen Dolen Recreation Center,"Arts, Culture & FUn Presents: Make your mark: Graffiti Writing Workshop",Local Event,Arts/Culture,AC&F,Teens;#Adults;#Seniors;#Young Adult,25
Recreation,,02/14/2017 09:00:00 AM,Brooklyn,Recreation Center,McCarren Play Center,Tots Valentines Day Brunch,Local Event,Arts/Culture,Play,Tot,95
Recreation,,02/23/2017 09:00:00 AM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,FDNY hands on training,Local Event,Sport,Fitness,Young Adult;#Teens;#Adults,55
Recreation,,02/28/2018 10:00:00 AM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Puppet show for toddlers,Local Event,Performance,Play,Tot,75
Recreation,,02/28/2018 12:00:00 AM,Manhattan,Recreation Center,Jackie Robinson Recreation Center,Black history month celebration,Local Event,Arts/Culture,,Children;#Teens,55
Recreation,,10/13/2018 11:00:00 AM,Manhattan,Recreation Center,J. Hood Wright Recreation Center,Celebrating Hispanic Heritage Month,Local Event,Arts/Culture,Dance,General Public,256
Recreation,,03/06/2017 12:00:00 PM,Manhattan,Recreation Center,Alfred E. Smith Recreation Center,Tea Time,Local Event,Arts/Culture,Lecture/Panel/Talk,Adults;#Seniors,27
Recreation,,03/10/2017 10:00:00 AM,Manhattan,Recreation Center,Alfred E. Smith Recreation Center,Japanese Culture Program,Local Event,Arts/Culture,Play,Tot;#Children,33
Recreation,,03/17/2017 09:00:00 AM,Brooklyn,Recreation Center,McCarren Play Center,St. Patricks Day event,Local Event,Arts/Culture,Play,Tot;#Children,80
Recreation,,08/14/2018 08:30:00 PM,Queens,Park,Alley Pond Park,Movies Under the Stars,Community Based Event,Mobile Unit,Movies,General Public,0
Recreation,,08/13/2018 08:30:00 PM,Queens,Park,Highland Park,Movies Under the Stars,Community Based Event,Mobile Unit,Movies,General Public,0
